"Año 
";"Departamento 
";"Municipio
";"CIE-10
";"Diagnóstico
";Grupo Etario;Sexo;Casos
2024;SAN MARCOS;SAN MARCOS;I:49;Otras arritmias cardíacas;45 a 49 años;M;1
2024;SAN MARCOS;SAN MARCOS;I:51;Complicaciones y descripciones mal definidas de enfermedad cardíaca;50 a 54 años;M;1
2024;SANTA ROSA;CUILAPA;C:22;Tumor maligno del hígado y de las vías biliares intrahepáticas;5 a 9 años;M;1
2024;SANTA ROSA;CUILAPA;I:27;Otras enfermedades cardiopulmonares;2m a < 1 año;M;16
2024;SANTA ROSA;CUILAPA;I:31;Otras enfermedades del pericardio;1a a 4 años;M;1
2024;SANTA ROSA;CUILAPA;I:37;Trastornos de la válvula pulmonar;10 a 14 años;M;1
2024;SANTA ROSA;CUILAPA;I:48;Fibrilación y aleteo auricular;30 a 34 años;M;1
2024;SANTA ROSA;CUILAPA;I:50;Insuficiencia cardíaca;35 a 39 años;M;1
2024;SANTA ROSA;CUILAPA;I:51;Complicaciones y descripciones mal definidas de enfermedad cardíaca;40 a 44 años;M;4
2024;SANTA ROSA;CUILAPA;I:61;Hemorragia intraencefálica;45 a 49 años;M;1
2024;SANTA ROSA;CUILAPA;J:44;Otras enfermedades pulmonares obstructivas crónicas;20 a 24 años;M;2
2024;SANTA ROSA;CUILAPA;N:18;Insuficiencia renal crónica;25 a 29 años;M;1
2024;SOLOLA;NAHUALÁ;I:51;Complicaciones y descripciones mal definidas de enfermedad cardíaca;65 a 69 años;M;1
2024;SOLOLA;SOLOLÁ;I:51;Complicaciones y descripciones mal definidas de enfermedad cardíaca;< 1 mes;M;1
2024;SUCHITEPEQUEZ;MAZATENANGO;I:27;Otras enfermedades cardiopulmonares;25 a 29 años;M;1
2024;SUCHITEPEQUEZ;MAZATENANGO;I:38;Endocarditis, válvula no especificada;30 a 34 años;M;2
2024;SUCHITEPEQUEZ;MAZATENANGO;I:51;Complicaciones y descripciones mal definidas de enfermedad cardíaca;50 a 54 años;M;1
2024;SUCHITEPEQUEZ;MAZATENANGO;N:18;Insuficiencia renal crónica;20 a 24 años;M;1
2024;TOTONICAPAN;TOTONICAPÁN;I:10;Hipertensión esencial (primaria);5 a 9 años;M;2
2024;TOTONICAPAN;TOTONICAPÁN;I:27;Otras enfermedades cardiopulmonares;15 a 19 años;M;1
2024;TOTONICAPAN;TOTONICAPÁN;J:45;Asma;1m a < 2m;M;1
2024;ALTA VERAPAZ;CHAHAL;J:45;Asma;55 a 59 años;M;1
2024;ALTA VERAPAZ;SAN CRISTÓBAL VERAPAZ;J:45;Asma;60 a 64 años;M;2
2024;ALTA VERAPAZ;SAN PEDRO CARCHÁ;J:45;Asma;50 a 54 años;M;2
2024;BAJA VERAPAZ;SALAMÁ;C:71;Tumor maligno del encéfalo;50 a 54 años;M;1
2024;BAJA VERAPAZ;SALAMÁ;I:51;Complicaciones y descripciones mal definidas de enfermedad cardíaca;60 a 64 años;M;1
2024;BAJA VERAPAZ;SALAMÁ;J:45;Asma;25 a 29 años;M;1
2024;CHIMALTENANGO;CHIMALTENANGO;E:14;Diabetes mellitus, no especificada;10 a 14 años;M;1
2024;CHIMALTENANGO;CHIMALTENANGO;I:49;Otras arritmias cardíacas;2m a < 1 año;M;1
2024;CHIMALTENANGO;CHIMALTENANGO;I:88;Linfadenitis inespecífica;60 a 64 años;M;1
2024;CHIMALTENANGO;POCHUTA;J:45;Asma;10 a 14 años;M;1
2024;CHIMALTENANGO;SAN JUAN COMALAPA;E:14;Diabetes mellitus, no especificada;60 a 64 años;M;1
2024;CHIMALTENANGO;TECPÁN GUATEMALA;I:10;Hipertensión esencial (primaria);< 1 mes;M;2
2024;CHIMALTENANGO;TECPÁN GUATEMALA;I:11;Enfermedad cardíaca hipertensiva;1m a < 2m;M;1
2024;CHIMALTENANGO;TECPÁN GUATEMALA;I:51;Complicaciones y descripciones mal definidas de enfermedad cardíaca;25 a 29 años;M;6
2024;CHIMALTENANGO;TECPÁN GUATEMALA;J:45;Asma;1m a < 2m;M;2
2024;CHIQUIMULA;CAMOTÁN;J:45;Asma;70+;M;3
2024;CHIQUIMULA;CHIQUIMULA;I:50;Insuficiencia cardíaca;55 a 59 años;M;1
2024;CHIQUIMULA;CHIQUIMULA;J:45;Asma;30 a 34 años;M;1
2024;CHIQUIMULA;SAN JACINTO;J:45;Asma;35 a 39 años;M;1
2024;EL PETEN;LA LIBERTAD;I:51;Complicaciones y descripciones mal definidas de enfermedad cardíaca;2m a < 1 año;M;1
2024;EL PETEN;MELCHOR DE MENCOS;I:10;Hipertensión esencial (primaria);25 a 29 años;M;1
2024;EL PETEN;MELCHOR DE MENCOS;I:51;Complicaciones y descripciones mal definidas de enfermedad cardíaca;70+;M;1
2024;EL PETEN;MELCHOR DE MENCOS;J:45;Asma;25 a 29 años;M;1
2024;EL PETEN;POPTÚN;I:50;Insuficiencia cardíaca;2m a < 1 año;M;1
2024;EL PETEN;POPTÚN;I:51;Complicaciones y descripciones mal definidas de enfermedad cardíaca;2m a < 1 año;M;1
2024;EL PETEN;SAN BENITO;I:21;Infarto agudo del miocardio;1m a < 2m;M;1
2024;EL PETEN;SAN BENITO;I:50;Insuficiencia cardíaca;40 a 44 años;M;1
2024;EL PETEN;SAN BENITO;I:51;Complicaciones y descripciones mal definidas de enfermedad cardíaca;40 a 44 años;M;1
2024;EL PETEN;SAN JOSÉ;J:44;Otras enfermedades pulmonares obstructivas crónicas;5 a 9 años;M;1
2024;EL PETEN;SAYAXCHÉ;I:50;Insuficiencia cardíaca;55 a 59 años;M;1
2024;ESCUINTLA;NUEVA CONCEPCIÓN;J:45;Asma;15 a 19 años;M;1
2024;ESCUINTLA;SIQUINALÁ;N:19;Insuficiencia renal no especificada;20 a 24 años;M;1
2024;GUATEMALA;CHINAUTLA;J:45;Asma;20 a 24 años;M;1
2024;GUATEMALA;GUATEMALA;E:10;Diabetes mellitus insulinodependiente;70+;M;1
2024;GUATEMALA;GUATEMALA;I:49;Otras arritmias cardíacas;1a a 4 años;M;6
2024;GUATEMALA;GUATEMALA;I:51;Complicaciones y descripciones mal definidas de enfermedad cardíaca;5 a 9 años;M;1
2024;GUATEMALA;GUATEMALA;J:45;Asma;1m a < 2m;M;2
2024;GUATEMALA;MIXCO;I:95;Hipotensión;30 a 34 años;M;1
2024;GUATEMALA;MIXCO;J:45;Asma;35 a 39 años;M;1
2024;GUATEMALA;PALENCIA;I:42;Cardiomiopatía;15 a 19 años;M;1
2024;GUATEMALA;SAN MIGUEL PETAPA;I:00;Fiebre reumática sin mención de complicación cardíaca;35 a 39 años;M;1
2024;GUATEMALA;SAN PEDRO AYAMPUC;J:45;Asma;10 a 14 años;M;1
2024;GUATEMALA;VILLA CANALES;E:14;Diabetes mellitus, no especificada;< 1 mes;M;1
2024;GUATEMALA;VILLA CANALES;J:45;Asma;1m a < 2m;M;1
2024;HUEHUETENANGO;BARILLAS;I:31;Otras enfermedades del pericardio;1m a < 2m;M;1
2024;HUEHUETENANGO;CONCEPCIÓN HUISTA;I:49;Otras arritmias cardíacas;5 a 9 años;M;1
2024;IZABAL;LIVINGSTON;J:45;Asma;30 a 34 años;M;1
2024;IZABAL;LOS AMATES;J:45;Asma;30 a 34 años;M;3
2024;IZABAL;MORALES;I:20;Angina de pecho;60 a 64 años;M;1
2024;IZABAL;PUERTO BARRIOS;I:51;Complicaciones y descripciones mal definidas de enfermedad cardíaca;30 a 34 años;M;3
2024;IZABAL;PUERTO BARRIOS;I:86;Várices de otros sitios;55 a 59 años;M;1
2024;IZABAL;PUERTO BARRIOS;J:45;Asma;< 1 mes;M;8
2024;JALAPA;JALAPA;E:14;Diabetes mellitus, no especificada;20 a 24 años;M;1
2024;JALAPA;JALAPA;I:00;Fiebre reumática sin mención de complicación cardíaca;20 a 24 años;M;1
2024;JALAPA;JALAPA;J:45;Asma;70+;M;1
2024;JUTIAPA;ASUNCIÓN MITA;J:45;Asma;20 a 24 años;M;1
2024;JUTIAPA;JUTIAPA;N:18;Insuficiencia renal crónica;1a a 4 años;M;1
2024;JUTIAPA;MOYUTA;I:51;Complicaciones y descripciones mal definidas de enfermedad cardíaca;20 a 24 años;M;1
2024;JUTIAPA;SANTA CATARINA MITA;J:45;Asma;10 a 14 años;M;1
2024;JUTIAPA;ZAPOTITLÁN;J:45;Asma;25 a 29 años;M;1
2024;QUETZALTENANGO;COATEPEQUE;E:14;Diabetes mellitus, no especificada;40 a 44 años;M;1
2024;QUETZALTENANGO;COATEPEQUE;I:51;Complicaciones y descripciones mal definidas de enfermedad cardíaca;1a a 4 años;M;6
2024;QUETZALTENANGO;COATEPEQUE;J:45;Asma;50 a 54 años;M;6
2024;QUETZALTENANGO;FLORES COSTA CUCA;J:44;Otras enfermedades pulmonares obstructivas crónicas;2m a < 1 año;M;1
2024;QUETZALTENANGO;OLINTEPEQUE;E:11;Diabetes mellitus no insulinodependiente;2m a < 1 año;M;1
2024;QUICHE;CUNÉN;J:45;Asma;50 a 54 años;M;1
2024;QUICHE;IXCÁN;I:51;Complicaciones y descripciones mal definidas de enfermedad cardíaca;< 1 mes;M;1
2024;QUICHE;SAN MIGUEL USPANTÁN;I:51;Complicaciones y descripciones mal definidas de enfermedad cardíaca;55 a 59 años;M;1
2024;QUICHE;SANTA CRUZ DEL QUICHÉ;I:46;Paro cardíaco;10 a 14 años;M;1
